City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rio Grande,-32.035,-52.0986,300.15,50,20,4.12,BR,1615558960
Hermanus,-34.4187,19.2345,296.48,67,100,0.45,ZA,1615558962
Qaanaaq,77.484,-69.3632,257.07,69,100,0.77,GL,1615558964
Avera,33.194,-82.5271,291.48,82,1,2.06,US,1615558965
Rikitea,-23.1203,-134.9692,299.29,76,100,3.78,PF,1615558966
Anadyr,64.75,177.4833,271.15,93,90,12.0,RU,1615558968
Arrondissement de Narbonne,43.0833,2.8333,289.82,47,75,4.63,FR,1615558969
Saint-François,46.4154,3.9054,286.48,58,75,4.63,FR,1615558970
Saint-Philippe,-21.3585,55.7679,300.15,65,0,7.72,RE,1615558972
Hirara,24.8,125.2833,292.79,83,23,8.95,JP,1615558973
Saldanha,-33.0117,17.9442,301.15,36,81,4.63,ZA,1615558814
Albany,42.6001,-73.9662,283.15,40,0,1.34,US,1615558803
Dikson,73.5069,80.5464,254.17,94,100,18.2,RU,1615558977
Punta Arenas,-53.15,-70.9167,287.15,67,40,7.72,CL,1615558978
Kapaa,22.0752,-159.319,294.15,94,90,4.12,US,1615558979
Belvedere Marittimo,39.6179,15.8617,279.15,87,0,2.57,IT,1615558981
Puerto Ayora,-0.7393,-90.3518,300.15,78,20,3.6,EC,1615558721
Jamestown,42.097,-79.2353,279.82,75,1,3.98,US,1615558983
Ushuaia,-54.8,-68.3,285.15,66,0,5.14,AR,1615558863
Hilo,19.7297,-155.09,294.15,83,1,1.54,US,1615558986
Vaini,-21.2,-175.2,296.15,88,75,3.6,TO,1615558987
Pisco,-13.7,-76.2167,295.37,88,90,4.63,PE,1615558988
Svetlaya,46.5389,138.3297,270.44,72,0,2.94,RU,1615558990
Busselton,-33.65,115.3333,286.48,79,0,0.45,AU,1615558950
Provideniya,64.3833,-173.3,262.79,96,100,2.46,RU,1615558994
Severo-Kuril'sk,50.6789,156.125,267.15,79,91,14.41,RU,1615558996
Dicabisagan,17.0818,122.4157,297.66,88,43,3.87,PH,1615558997
Richards Bay,-28.783,32.0377,299.99,74,28,3.21,ZA,1615558998
Ribeira Grande,38.5167,-28.7,289.15,82,75,5.14,PT,1615559000
Butaritari,3.0707,172.7902,299.97,81,98,5.65,KI,1615559001
Hobart,-42.8794,147.3294,294.15,64,100,4.63,AU,1615558851
Broken Hill,-31.95,141.4333,299.15,34,0,4.12,AU,1615559003
Gamba,-2.65,10.0,302.24,66,100,3.03,GA,1615559005
Hithadhoo,-0.6,73.0833,301.87,60,1,1.96,MV,1615559006
